Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
116    Anthony Carter       DEN      7.96       6.96       14.93     
117    Von Wafer            DEN      11.07      4.02       15.09     
118    Jamal Sampson        DEN      6.06       12.85      18.91     
119    Julius Hodge         DEN      4.33       11.80      16.13     
120    Jelani McCoy         DEN      0.00       11.21      11.21     
121    Tayshaun Prince      DET      7.23       5.65       12.88     
122    Richard Hamilton     DET      14.99      9.29       24.28     
123    Chauncey Billups     DET      15.53      14.55      30.08     
124    Rasheed Wallace      DET      16.64      13.67      30.31     
125    Antonio McDyess      DET      7.32       6.40       13.72     
126    Jarvis Hayes         DET      15.11      12.39      27.50     
127    Jason Maxiell        DET      15.97      15.18      31.15     
128    Nazr Mohammed        DET      15.24      17.26      32.50     
129    Primoz Brezec        DET      6.24       11.39      17.62     
130    Rodney Stuckey       DET      9.02       9.34       18.35     
131    Lindsey Hunter       DET      11.90      14.04      25.94     
132    Arron Afflalo        DET      7.69       9.53       17.21     
133    Amir Johnson         DET      3.32       3.39       6.70      
134    Dale Davis           DET      12.49      8.82       21.32     
135    Theo Ratliff         DET      8.77       7.21       15.98     
136    Will Blalock         DET      2.10       1.43       3.52      
137    Ronald Dupree        DET      7.83       7.52       15.36     
138    Monta Ellis          GSW      10.46      9.73       20.19     
139    Baron Davis          GSW      13.05      13.08      26.13     
140    Stephen Jackson      GSW      6.90       6.17       13.07     
141    Al Harrington        GSW      9.10       6.88       15.97     
142    Andris Biedrins      GSW      9.09       7.59       16.68     
143    Matt Barnes          GSW      15.31      11.78      27.09     
144    Mickael Pietrus      GSW      14.55      13.61      28.16     
145    Kelenna Azubuike     GSW      17.61      16.71      34.32     
146    Chris Webber         GSW      15.44      13.89      29.33     
147    Josh Powell          GSW      16.87      13.83      30.70     
148    Austin Croshere      GSW      6.09       7.51       13.60     
149    Sarunas Jasikevicius GSW      5.23       4.33       9.56      
150    Keith McLeod         GSW      11.49      10.25      21.75     
151    Troy Hudson          GSW      2.75       3.18       5.94      
152    Didier Ilunga-Mbenga GSW      11.50      13.36      24.86     
153    C.J. Watson          GSW      13.27      10.29      23.57     
154    Brandan Wright       GSW      18.70      8.49       27.19     
155    Marco Belinelli      GSW      14.17      11.55      25.73     
156    Anthony Roberson     GSW      7.04       4.68       11.72     
157    Patrick O'Bryant     GSW      6.12       5.87       11.99     
158    Dajuan Wagner        GSW      13.00      0.00       13.00     
159    Shane Battier        HOU      16.85      14.46      31.31     
160    Rafer Alston         HOU      17.62      19.70      37.32     
161    Tracy McGrady        HOU      10.70      9.47       20.17     
162    Luther Head          HOU      16.10      14.78      30.88     
163    Yao Ming             HOU      4.11       3.72       7.84      
164    Bobby Jackson        HOU      5.16       2.70       7.86      
165    Chuck Hayes          HOU      15.20      14.49      29.69     
166    Mike James           HOU      16.34      15.53      31.87     
167    Juwan Howard         HOU      15.50      12.81      28.30     
168    Bonzi Wells          HOU      5.63       5.78       11.40     
169    Luis Scola           HOU      16.16      13.06      29.22     
170    Dikembe Mutombo      HOU      15.32      9.37       24.69     
171    Steve Francis        HOU      11.86      9.32       21.18     
172    Kirk Snyder          HOU      12.70      11.05      23.74     
173    Carl Landry          HOU      10.01      8.78       18.79     
174    Aaron Brooks         HOU      3.66       2.75       6.41      
175    Steve Novak          HOU      8.36       10.37      18.74     
176    Jake Tsakalidis      HOU      11.54      9.43       20.96     
177    John Lucas III       HOU      6.60       5.61       12.22     
178    Vassilis Spanoulis   HOU      3.94       4.36       8.30      
179    Scott Padgett        HOU      7.12       9.78       16.90     
180    Mike Harris          HOU      15.63      8.92       24.55     
181    Loren Woods          HOU      5.00       5.00       10.00     
182    Danny Granger        IND      6.45       4.88       11.33     
183    Mike Dunleavy        IND      13.16      11.12      24.28     
184    Troy Murphy          IND      3.85       2.73       6.58      
185    Jeff Foster          IND      12.64      10.73      23.37     
186    Jermaine O'Neal      IND      12.89      9.16       22.06     
187    Jamaal Tinsley       IND      13.27      10.70      23.97     
188    Marquis Daniels      IND      14.04      13.29      27.33     
189    Ronald Murray        IND      9.16       8.06       17.22     
190    Shawne Williams      IND      8.15       8.59       16.73     
191    Travis Diener        IND      6.68       5.52       12.20     
192    Kareem Rush          IND      13.01      13.79      26.80     
193    Ike Diogu            IND      11.26      9.52       20.78     
194    David Harrison       IND      10.02      6.93       16.95     
