Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
509    Jason Hart           UTA      16.01      13.25      29.26     
510    C.J. Miles           UTA      8.68       6.85       15.53     
511    Dee Brown            UTA      10.83      5.98       16.81     
512    Rafael Araujo        UTA      8.28       4.38       12.66     
513    Kyrylo Fesenko       UTA      10.29      5.64       15.93     
514    Morris Almond        UTA      7.86       0.00       7.86      
515    Roger Powell         UTA      5.42       0.00       5.42      
516    Antawn Jamison       WAS      8.44       6.58       15.02     
517    Caron Butler         WAS      20.70      12.71      33.41     
518    DeShawn Stevenson    WAS      21.88      14.81      36.69     
519    Antonio Daniels      WAS      11.09      8.47       19.56     
520    Brendan Haywood      WAS      19.88      16.09      35.97     
521    Gilbert Arenas       WAS      14.17      9.87       24.04     
522    Darius Songaila      WAS      15.82      11.61      27.43     
523    Roger Mason          WAS      3.06       2.56       5.63      
524    Andray Blatche       WAS      3.45       2.79       6.25      
525    Nick Young           WAS      9.85       7.53       17.38     
526    Etan Thomas          WAS      14.93      9.19       24.11     
527    Dominic McGuire      WAS      12.37      9.43       21.80     
528    Donell Taylor        WAS      9.71       9.37       19.07     
529    Oleksiy Pecherov     WAS      6.64       7.43       14.07     
530    James Lang           WAS      4.00       6.88       10.88     
531    Mike Hall            WAS      5.00       0.00       5.00      
532    Chris Andersen       N/A      0.00       5.82       5.82      
533    Thomas Gardner       N/A      0.00       6.38       6.38      
534    Kosta Perovic        N/A      0.00       18.00      18.00     
535    Cheikh Samb          N/A      0.00       8.67       8.67      
536    Renaldo Major        N/A      0.00       3.00       3.00      
537    Chris McCray         N/A      0.00       4.00       4.00      
