game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200702050HOU,2007,HOU,MIN,25,32,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Marko Jaric,Trenton Hassell,Troy Hudson,12,6,7,10,6,2,1,3,2,1,6,4,2,0,15,0.5833333333333334,0.6,0.5,13,2,7,9,6,4,1,6,1,0,6,4,2,2,15,0.5384615384615384,0.6666666666666666,0.25,-1
200702050HOU,2007,HOU,MIN,33,33,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Ricky Davis,Trenton Hassell,Troy Hudson,3,0,1,0,0,3,1,1,0,0,2,0,2,0,3,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1
200702050HOU,2007,HOU,MIN,34,35,Dikembe Mutombo,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Kevin Garnett,Mark Blount,Mike James,Ricky Davis,Trenton Hassell,3,0,3,2,2,1,1,2,0,0,2,2,0,1,7,1.0,1.0,1.0,3,0,1,2,0,1,1,1,0,1,0,0,0,1,3,0.3333333333333333,0.0,1.0,1
200702050HOU,2007,HOU,MIN,36,36,Dikembe Mutombo,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Kevin Garnett,Mark Madsen,Mike James,Ricky Davis,Trenton Hassell,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0.0,0.0,0.0,3,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,-1
200702050HOU,2007,HOU,MIN,37,37,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Shane Battier,Kevin Garnett,Mark Madsen,Mike James,Ricky Davis,Trenton Hassell,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,3,1.0,0.0,1.0,-1
200702050HOU,2007,HOU,MIN,38,40,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Shane Battier,Kevin Garnett,Mark Madsen,Mike James,Randy Foye,Ricky Davis,6,0,4,3,1,3,3,3,0,0,2,1,1,0,11,0.6666666666666666,0.3333333333333333,1.0,3,2,2,2,1,1,1,1,0,0,1,1,0,1,5,0.6666666666666666,0.5,1.0,1
200702050HOU,2007,HOU,MIN,41,41,Chuck Hayes,John Lucas III,Juwan Howard,Luther Head,Shane Battier,Craig Smith,Mark Madsen,Mike James,Randy Foye,Ricky Davis,2,1,1,2,1,0,0,1,0,0,1,1,0,1,2,0.5,0.5,0.0,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0.0,0.0,0.0,1
200702050HOU,2007,HOU,MIN,42,42,Chuck Hayes,John Lucas III,Luther Head,Scott Padgett,Shane Battier,Craig Smith,Mark Madsen,Randy Foye,Rashad McCants,Ricky Davis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,2,1.0,1.0,0.0,-1
200702050HOU,2007,HOU,MIN,43,43,Chuck Hayes,John Lucas III,Luther Head,Scott Padgett,Vassilis Spanoulis,Craig Smith,Mark Madsen,Marko Jaric,Randy Foye,Rashad McCants,1,0,0,1,0,0,0,0,1,0,2,1,1,1,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200702050HOU,2007,HOU,MIN,44,46,Chuck Hayes,John Lucas III,Scott Padgett,Steve Novak,Vassilis Spanoulis,Craig Smith,Mark Madsen,Marko Jaric,Randy Foye,Rashad McCants,3,2,1,2,1,1,0,1,0,1,1,1,0,0,2,0.3333333333333333,0.5,0.0,5,3,4,2,2,3,2,2,0,1,3,3,0,0,10,0.8,1.0,0.6666666666666666,-1
200702050HOU,2007,HOU,MIN,47,47,Chuck Hayes,John Lucas III,Scott Padgett,Steve Novak,Vassilis Spanoulis,Craig Smith,Justin Reed,Marko Jaric,Randy Foye,Rashad McCants,2,0,0,1,0,1,0,0,0,0,3,1,2,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,-1
200702100HOU,2007,HOU,CHA,0,4,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Emeka Okafor,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,10,3,1,9,1,1,0,0,0,0,4,1,3,2,2,0.1,0.1111111111111111,0.0,7,0,6,3,2,4,4,6,0,0,6,6,0,2,16,0.8571428571428571,0.6666666666666666,1.0,-1
200702100HOU,2007,HOU,CHA,5,9,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Gerald Wallace,Matt Carroll,Melvin Ely,Primoz Brezec,Raymond Felton,8,4,5,7,5,1,0,3,0,1,6,5,1,1,10,0.625,0.7142857142857143,0.0,7,2,2,7,2,0,0,2,0,1,2,2,0,3,4,0.2857142857142857,0.2857142857142857,0.0,1
200702100HOU,2007,HOU,CHA,10,10,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Adam Morrison,Brevin Knight,Gerald Wallace,Jake Voskuhl,Melvin Ely,1,2,1,0,0,1,1,1,0,0,0,0,0,0,3,1.0,0.0,1.0,2,0,2,2,2,0,0,2,0,0,0,0,0,0,4,1.0,1.0,0.0,-1
200702100HOU,2007,HOU,CHA,11,12,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Adam Morrison,Brevin Knight,Gerald Wallace,Jake Voskuhl,Walter Herrmann,4,2,3,2,1,2,2,3,0,0,3,2,1,1,8,0.75,0.5,1.0,5,2,1,4,1,1,0,1,1,1,3,0,3,0,2,0.2,0.25,0.0,1
200702100HOU,2007,HOU,CHA,13,14,Dikembe Mutombo,Juwan Howard,Kirk Snyder,Luther Head,Rafer Alston,Adam Morrison,Brevin Knight,Emeka Okafor,Jeff McInnis,Walter Herrmann,3,0,2,2,1,1,1,2,0,1,1,1,0,0,5,0.6666666666666666,0.5,1.0,3,2,1,3,1,0,0,1,0,0,3,1,2,1,2,0.3333333333333333,0.3333333333333333,0.0,1
200702100HOU,2007,HOU,CHA,15,16,Chuck Hayes,Dikembe Mutombo,Kirk Snyder,Luther Head,Rafer Alston,Adam Morrison,Emeka Okafor,Jeff McInnis,Raymond Felton,Walter Herrmann,3,0,2,3,2,0,0,1,0,0,1,0,1,1,4,0.6666666666666666,0.6666666666666666,0.0,3,0,3,2,2,1,1,2,0,0,0,0,0,0,7,1.0,1.0,1.0,-1
200702100HOU,2007,HOU,CHA,17,18,Chuck Hayes,Dikembe Mutombo,Kirk Snyder,Luther Head,Rafer Alston,Adam Morrison,Emeka Okafor,Gerald Wallace,Jeff McInnis,Raymond Felton,2,4,1,2,1,0,0,0,0,0,3,3,0,0,2,0.5,0.5,0.0,4,0,1,4,1,0,0,1,0,0,1,1,0,0,2,0.25,0.25,0.0,-1
200702100HOU,2007,HOU,CHA,19,19,Dikembe Mutombo,Kirk Snyder,Luther Head,Rafer Alston,Shane Battier,Adam Morrison,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,2,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
200702100HOU,2007,HOU,CHA,20,20,Dikembe Mutombo,Kirk Snyder,Luther Head,Rafer Alston,Shane Battier,Emeka Okafor,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,1,2,0,0,0,1,0,0,0,0,4,2,2,0,0,0.0,0.0,0.0,2,2,0,1,0,1,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,-1
200702100HOU,2007,HOU,CHA,21,21,Dikembe Mutombo,Kirk Snyder,Luther Head,Shane Battier,Tracy McGrady,Emeka Okafor,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,2,2,0,1,2,1.0,1.0,0.0,-1
200702100HOU,2007,HOU,CHA,22,22,Dikembe Mutombo,Kirk Snyder,Luther Head,Shane Battier,Tracy McGrady,Brevin Knight,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,1,0,1,0,0,1,1,1,0,0,2,2,0,0,3,1.0,0.0,1.0,4,2,0,4,0,0,0,0,1,1,4,0,4,0,0,0.0,0.0,0.0,1
200702100HOU,2007,HOU,CHA,23,23,Dikembe Mutombo,Kirk Snyder,Luther Head,Shane Battier,Tracy McGrady,Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,3,0,2,1,1,2,1,1,0,0,2,1,1,1,5,0.6666666666666666,1.0,0.5,2,0,1,1,1,1,0,0,0,0,0,0,0,1,2,0.5,1.0,0.0,1
200702100HOU,2007,HOU,CHA,24,24,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,2,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0.5,0.5,0.0,2,0,2,2,2,0,0,2,0,0,1,1,0,0,4,1.0,1.0,0.0,-1
200702100HOU,2007,HOU,CHA,25,31,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Emeka Okafor,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,11,3,6,8,5,3,1,3,0,2,2,2,0,2,13,0.5454545454545454,0.625,0.3333333333333333,7,2,3,5,2,2,1,1,1,0,7,5,2,8,7,0.42857142857142855,0.4,0.5,1
200702100HOU,2007,HOU,CHA,32,33,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Walter Herrmann,4,0,1,4,1,0,0,0,0,0,4,2,2,1,2,0.25,0.25,0.0,4,0,1,3,1,1,0,0,0,1,2,1,1,1,2,0.25,0.3333333333333333,0.0,-1
200702100HOU,2007,HOU,CHA,34,34,Dikembe Mutombo,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Adam Morrison,Brevin Knight,Emeka Okafor,Melvin Ely,Walter Herrmann,2,2,0,1,0,1,0,0,0,2,3,1,2,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,-1
