Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
115    Chauncey Billups     DET      11.19      9.94       21.13     
116    Rasheed Wallace      DET      14.27      12.55      26.82     
117    Antonio McDyess      DET      9.29       5.54       14.83     
118    Carlos Delfino       DET      11.87      8.31       20.18     
119    Ronald Murray        DET      7.26       6.83       14.09     
120    Jason Maxiell        DET      11.58      15.79      27.37     
121    Lindsey Hunter       DET      14.11      13.87      27.98     
122    Nazr Mohammed        DET      18.29      16.37      34.66     
123    Dale Davis           DET      12.49      8.82       21.32     
124    Will Blalock         DET      2.10       1.43       3.52      
125    Amir Johnson         DET      4.38       4.00       8.38      
126    Ronald Dupree        DET      7.83       8.45       16.28     
127    Monta Ellis          GSW      12.17      9.99       22.16     
128    Mike Dunleavy        GSW      9.42       9.03       18.45     
129    Al Harrington        GSW      8.77       6.62       15.39     
130    Stephen Jackson      GSW      3.75       2.90       6.65      
131    Andris Biedrins      GSW      8.95       7.12       16.07     
132    Baron Davis          GSW      13.34      9.23       22.57     
133    Mickael Pietrus      GSW      14.95      13.25      28.20     
134    Matt Barnes          GSW      14.13      13.38      27.51     
135    Troy Murphy          GSW      3.70       2.36       6.05      
136    Jason Richardson     GSW      22.54      16.32      38.86     
137    Sarunas Jasikevicius GSW      5.23       4.33       9.56      
138    Keith McLeod         GSW      11.49      10.25      21.75     
139    Kelenna Azubuike     GSW      11.52      12.39      23.92     
140    Adonal Foyle         GSW      3.69       3.53       7.22      
141    Josh Powell          GSW      13.52      17.61      31.13     
142    Anthony Roberson     GSW      7.04       4.68       11.72     
143    Patrick O'Bryant     GSW      12.00      6.11       18.11     
144    Dajuan Wagner        GSW      13.00      0.00       13.00     
145    Rafer Alston         HOU      17.21      19.60      36.82     
146    Shane Battier        HOU      13.53      16.30      29.83     
147    Luther Head          HOU      14.62      13.69      28.31     
148    Tracy McGrady        HOU      10.64      9.89       20.53     
149    Juwan Howard         HOU      11.43      9.58       21.01     
150    Chuck Hayes          HOU      6.63       6.03       12.67     
151    Yao Ming             HOU      4.02       3.79       7.80      
152    Dikembe Mutombo      HOU      10.65      10.39      21.05     
153    Bonzi Wells          HOU      2.70       2.40       5.10      
154    Kirk Snyder          HOU      9.74       10.39      20.13     
155    Jake Tsakalidis      HOU      11.54      9.43       20.96     
156    John Lucas III       HOU      6.60       5.61       12.22     
157    Vassilis Spanoulis   HOU      3.94       4.36       8.30      
158    Scott Padgett        HOU      7.12       9.78       16.90     
159    Steve Novak          HOU      5.90       10.58      16.48     
160    Danny Granger        IND      5.91       4.44       10.35     
161    Jermaine O'Neal      IND      9.95       7.18       17.13     
162    Jamaal Tinsley       IND      11.45      9.73       21.18     
163    Jeff Foster          IND      9.40       9.92       19.32     
164    Darrell Armstrong    IND      8.04       5.87       13.92     
165    Marquis Daniels      IND      12.04      7.79       19.84     
166    Ike Diogu            IND      10.60      9.16       19.76     
167    Shawne Williams      IND      5.43       3.93       9.36      
168    Maceo Baston         IND      7.69       10.32      18.01     
169    Rawle Marshall       IND      4.42       7.49       11.92     
170    Orien Greene         IND      7.05       5.07       12.11     
171    David Harrison       IND      10.75      7.44       18.19     
172    Elton Brand          LAC      16.26      14.30      30.56     
173    Cuttino Mobley       LAC      12.07      8.47       20.53     
174    Corey Maggette       LAC      9.29       7.17       16.46     
175    Tim Thomas           LAC      4.89       2.59       7.47      
176    Chris Kaman          LAC      5.82       5.10       10.92     
177    Shaun Livingston     LAC      6.75       6.14       12.89     
178    Quinton Ross         LAC      14.35      12.99      27.34     
179    Sam Cassell          LAC      9.51       8.31       17.82     
180    Daniel Ewing         LAC      9.94       6.94       16.87     
181    James Singleton      LAC      18.39      9.77       28.15     
182    Aaron Williams       LAC      3.37       2.98       6.35      
183    Paul Davis           LAC      11.35      6.89       18.24     
184    Luke Jackson         LAC      13.85      17.63      31.48     
185    Doug Christie        LAC      5.00       6.29       11.29     
186    Will Conroy          LAC      10.71      0.50       11.21     
187    Yaroslav Korolev     LAC      4.20       3.50       7.70      
188    Alvin Williams       LAC      3.00       0.00       3.00      
189    Kobe Bryant          LAL      18.98      11.72      30.70     
190    Smush Parker         LAL      8.86       7.08       15.95     
191    Lamar Odom           LAL      15.95      12.63      28.58     
192    Maurice Evans        LAL      14.09      12.14      26.23     
193    Luke Walton          LAL      18.49      14.30      32.80     
194    Andrew Bynum         LAL      6.95       5.89       12.85     
195    Jordan Farmar        LAL      11.56      7.88       19.45     
196    Ronny Turiaf         LAL      11.46      8.92       20.38     
197    Sasha Vujacic        LAL      8.67       10.13      18.80     
198    Vladimir Radmanovic  LAL      3.51       2.92       6.43      
199    Kwame Brown          LAL      17.36      14.43      31.79     
200    Brian Cook           LAL      12.27      8.02       20.29     
201    Shammond Williams    LAL      6.63       6.87       13.50     
202    Aaron McKie          LAL      2.75       2.77       5.52      
